獨	獨
獪	獪
獫	獫
獰	獰
獲	獲
獵	獵
獷	獷
獸	獸
獺	獺
獻	獻
獼	獼
玀	玀
妙	玅
茲	玆
珏	玨
珍	珎
佩	珮
現	現
璃	琍
管	琯
雕	琱
琴	琹
琺	琺
琿	琿
珉	瑉
瑋	瑋
琉	瑠
瑣	瑣
瑤	瑤
瑩	瑩
瑪	瑪
琅	瑯
璉	璉
琉	璢
璣	璣
璦	璦
環	環
璽	璽
璇	璿
璃	瓈
瓊	瓊
瑰	瓌
瓏	瓏
瓔	瓔
瓚	瓚
甌	甌
磚	甎
甕	甕
罌	甖
產	產
產	産
蘇	甦
耕	畊
畝	畝
畢	畢
略	畧
畫	畫
異	異
留	畱
當	當
疇	疇
疊	疉
疊	疊
疏	疎
肛	疘
痱	疿
蛔	痐
痙	痙
酸	痠
淋	痳
痹	痺
痾	痾
瘂	瘂
愈	瘉
瘋	瘋
瘍	瘍
瘓	瘓
喑	瘖
瘞	瘞
瘡	瘡
瘧	瘧
瘻	瘺
瘻	瘻
療	療
憔	癄
瘤	癅
癆	癆
癇	癇
癉	癉
愈	癒
癘	癘
癟	癟
癡	癡
癢	癢
癤	癤
症	癥
癧	癧
癩	癩
癬	癬
癭	癭
癮	癮
癰	癰
癱	癱
癲	癲
發	發
皁	皁
皚	皚
皓	皜
皰	皰
鼓	皷
皸	皸
皺	皺
杯	盃
盍	盇
碗	盌
盜	盜
盞	盞
盡	盡
監	監
盤	盤
盧	盧
蕩	盪
視	眎
視	眡
眥	眥
衆	眾
困	睏
睜	睜
睞	睞
眷	睠
眯	瞇
翳	瞖
瞘	瞘
瞞	瞞
瞼	瞼
瞅	矁
蒙	矇
瞰	矙
矚	矚
矯	矯
碇	矴
炮	砲
朱	硃
硤	硤
硨	硨
硯	硯
磣	硶
棋	碁
碩	碩
砧	碪
碭	碭
碸	碸
確	確
碼	碼
磚	磚
磣	磣
磧	磧
磯	磯
磽	磽
礎	礎
礙	礙
礦	礦
礪	礪
礫	礫
礬	礬
炮	礮
礱	礱
佑	祐
帙	祑
祕	祕
祿	祿
禍	禍
禎	禎
御	禦
祀	禩
禪	禪
禮	禮
禰	禰
禱	禱
禿	禿
秈	秈
秋	秌
稅	稅
稈	稈
棱	稜
稟	稟
秸	稭
種	種
稱	稱
稚	稺
谷	穀
糠	穅
稚	穉
穌	穌
積	積
穎	穎
穡	穡
穢	穢
頹	穨
穩	穩
獲	穫
穭	穭
阱	穽
窗	窓
窩	窩
窪	窪
窮	窮
窯	窯
窯	窰
窶	窶
窺	窺
竄	竄
竅	竅
竇	竇
竈	竈
竊	竊
佇	竚
並	竝
俟	竢
豎	竪
競	競
筆	筆
筍	筍
策	筞
管	筦
筧	筧
筒	筩
箸	筯
策	筴
個	箇
箋	箋
箏	箏
帚	箒
棰	箠
節	節
範	範
築	築
篋	篋
箬	篛
筱	篠
篤	篤
篩	篩
篳	篳
纂	篹
簀	簀
簍	簍
蓑	簑
篡	簒
簞	簞
簡	簡
簣	簣
簫	簫
簪	簮
檐	簷
籤	簽
簾	簾
籃	籃
籌	籌
藤	籐
籜	籜
籟	籟
籠	籠
奩	籢
籤	籤
鑰	籥
籩	籩
籪	籪
籬	籬
籮	籮
籲	籲
秕	粃
糠	粇
磷	粦
妝	粧
曲	粬
麩	粰
粵	粵
稗	粺
糉	糉
糝	糝
糞	糞
模	糢
糧	糧
團	糰
糲	糲
糴	糴
糶	糶
糾	糾
紀	紀
紂	紂
約	約
紅	紅
紆	紆
紇	紇
紈	紈
紉	紉
紋	紋
納	納
紐	紐
紓	紓
純	純
紕	紕
紗	紗
紙	紙
級	級
紛	紛
紜	紜
紡	紡
扎	紥
扎	紮
細	細
紱	紱
紲	紲
紳	紳
紹	紹
紺	紺
紼	紼
紿	紿
絀	絀
終	終
弦	絃
組	組
絆	絆
絎	絎
紲	絏
結	結
絕	絕
絛	絛
絝	絝
絞	絞
絡	絡
絢	絢
給	給
絨	絨
統	統
絲	絲
絳	絳
絹	絹
綁	綁
綃	綃
綆	綆
綈	綈
繡	綉
綏	綏
捆	綑
經	經
綜	綜
綞	綞
綠	綠
綢	綢
綣	綣
線	綫
綬	綬
維	維
綰	綰
綱	綱
網	網
繃	綳
綴	綴
彩	綵
綸	綸
綹	綹
綺	綺
綻	綻
綽	綽
綾	綾
綿	綿
緄	緄
緇	緇
緊	緊
緋	緋
緡	緍
繁	緐
緒	緒
鞝	緔
緗	緗
緘	緘
緙	緙
線	線
綿	緜
緝	緝
緞	緞
締	締
緡	緡
緣	緣
紲	緤
褓	緥
緦	緦
編	編
緩	緩
緬	緬
緯	緯
緱	緱
緲	緲
練	練
緶	緶
緹	緹
致	緻
總	縂
縈	縈
縉	縉
縊	縊
縋	縋
縐	縐
縑	縑
絛	縚
縛	縛
縝	縝
縞	縞
縟	縟
縣	縣
絛	縧
縫	縫
縭	縭
縮	縮
演	縯
縱	縱
縲	縲
纖	縴
縵	縵
縶	縶
縷	縷
縹	縹
總	總
績	績
繃	繃
繅	繅
繆	繆
襁	繈
繒	繒
織	織
繕	繕
傘	繖
翻	繙
繚	繚
繞	繞
繡	繡
繢	繢
襁	繦
繩	繩
繪	繪
系	繫
繭	繭
繮	繮
繯	繯
繰	繰
繳	繳
繹	繹
繼	繼
繽	繽
繾	繾
纈	纈
纊	纊
續	續
累	纍
纏	纏
纓	纓
纖	纖
纘	纘
纜	纜
鉢	缽
瓶	缾
樽	罇
壇	罈
甕	罋
罌	罌
壇	罎
壚	罏
罰	罰
罵	罵
罷	罷
罰	罸
羅	羅
羆	羆
羈	羈
羋	羋
羌	羗
絨	羢
羣	羣
羥	羥
羨	羨
義	義
